time,/Bed-1.In.MoleFlow,/Bed-1.In.P,/Bed-1.In.MoleFlows.HYDROGEN_SULFIDE,/Bed-1.Out.T,/Bed-1.Out.MoleFlow,/Bed-2.In.MoleFlow,/Bed-2.In.MoleFlows.HYDROGEN_SULFIDE,/CRF1.In.MoleFlow,/CRF1.In.T,/CRF1.In.P,/Tail_Gas.In.MoleFlow,/Sep1.In.P,/Sep2.In.P,/Sep3.In.P,/Tail_Gas.In.T
s,kmol/h,kPa,kmol/h,C,kmol/h,kmol/h,kmol/h,kmol/h,C,kPa,kmol/h,kPa,kPa,kPa,C
100,2044.147111,282.8150164,191.7312886,410.1440582,2011.41172,1991.412677,230.8393135,2132.598662,33.37389499,289.133439,1976.894238,347.1658922,316.8095506,289.133439,159
101,2025.298893,280.2326912,189.9634153,410.1440582,1992.449265,1971.772184,228.5626392,2143.980835,33.04555546,286.5521809,1957.117791,345.3970159,314.9383919,286.5521809,159
102,2013.820668,278.4167048,188.8868123,410.1440582,1980.030356,1956.144296,226.7510956,2140.722837,32.74523908,284.7126049,1941.074951,343.6946562,313.1375492,284.7126049,159
103,1987.877056,276.7965449,186.1542842,409.7814105,1956.367615,1932.065441,224.13083,2129.718816,32.55523204,283.1799825,1917.815042,342.1623388,311.4628161,283.1799825,159
104,1976.514074,275.1983714,185.0902004,409.7814105,1944.864472,1919.211936,222.6397486,2132.768853,32.37962747,281.6190054,1904.313835,340.7012752,310.212111,281.6190054,159
105,1964.500717,273.6018175,183.9652123,409.7814105,1932.801588,1906.759829,221.1952318,2135.696435,32.22023893,280.0457378,1891.803942,339.3102176,308.9177216,280.0457378,159
106,1952.513088,272.0289394,182.8426336,409.7814105,1920.766723,1894.645494,219.7898985,2136.79159,32.07309151,278.4951835,1879.70447,337.9752226,307.5897176,278.4951835,159
107,1940.480104,270.4632348,181.7158076,409.7814105,1908.713119,1882.684408,218.4023429,2137.256377,31.9325644,276.9509053,1867.780724,336.6733304,306.2401438,276.9509053,159
108,1914.982672,268.6014139,179.2727527,409.9301521,1884.68523,1860.966356,215.8411899,2141.878538,31.80800678,275.1686629,1846.798418,335.4221216,304.8284278,275.1686629,159
109,1914.312468,268.0531931,179.210011,409.9301521,1882.472063,1853.31385,214.9536263,2125.820535,31.66580364,274.4093948,1838.222887,334.3922624,303.5759331,274.4093948,159
110,1920.029874,268.3958727,179.7452508,409.9301521,1886.938704,1852.199491,214.8243792,2098.743675,31.63418005,274.5388939,1836.422567,333.7184675,302.6348582,274.5388939,159
111,1927.978608,269.1957268,180.4893784,409.9301521,1894.176263,1855.569829,215.2152824,2070.429825,31.72836701,275.1576029,1839.334107,333.4055224,302.046035,275.1576029,159
112,1935.386286,270.0934497,181.1828545,409.9301521,1901.365835,1860.947756,215.8390327,2046.973255,31.90320542,275.9081531,1844.513825,333.3796839,301.7655333,275.9081531,159
113,1928.494039,269.7732915,180.2920839,410.134428,1895.663995,1859.323992,215.4207244,2048.869791,32.10461888,275.653274,1843.309581,333.3363981,301.5109934,275.653274,159
114,1924.188674,269.3661314,179.8895817,410.134428,1891.669333,1857.377285,215.1951795,2051.181982,32.17758183,275.2725073,1841.610558,333.2516651,301.2453417,275.2725073,159
115,1919.936573,268.8867226,179.492059,410.134428,1887.556512,1854.329756,214.8420937,2054.230139,32.21087493,274.8190064,1838.721236,333.1047645,300.9539207,274.8190064,159
116,1915.487156,268.3496951,179.0760895,410.134428,1883.200439,1850.634669,214.413982,2057.60315,32.22830094,274.3086351,1835.124504,332.8914345,300.629324,274.3086351,159
117,1910.65266,267.7519706,178.6241195,410.134428,1878.452127,1846.41932,213.925593,2061.452518,32.23374582,273.7375668,1830.985334,332.6115529,300.265245,273.7375668,159
118,1910.447474,267.8393215,179.0910746,410.0900083,1878.25068,1843.832749,214.2617069,2053.201661,32.23575396,273.7349801,1828.223957,332.4342529,299.9895947,273.7349801,159
119,1917.998862,268.5662349,179.7989643,410.0900083,1884.951268,1847.077977,214.6388171,2036.845333,32.30108021,274.3137289,1830.984356,332.4494625,299.9076688,274.3137289,159
120,1927.056998,269.5939246,180.6481011,410.0900083,1893.547426,1853.130292,215.3421234,2019.229107,32.43411831,275.2164154,1836.719954,332.6726805,300.0484461,275.2164154,159
121,1936.331952,270.7407846,181.5175632,410.0900083,1902.615849,1860.725826,216.2247589,2003.568483,32.61381134,276.2673848,1844.139709,333.088463,300.3959812,276.2673848,159
122,1945.388004,271.9156134,182.3665046,410.0900083,1911.60807,1868.993676,217.1855204,1991.048919,32.81938977,277.3710677,1852.328892,333.6614521,300.9152478,277.3710677,159
123,1952.860857,272.484771,182.6405767,410.2412279,1918.877577,1877.710161,218.0309048,1992.830288,33.02443334,277.9490179,1860.922483,334.1875075,301.4489531,277.9490179,159
124,1955.510628,272.9572337,182.8883955,410.2412279,1921.760837,1882.139947,218.5452708,1994.908172,33.15092387,278.4346108,1865.690358,334.6938438,301.9608553,278.4346108,159
125,1957.886481,273.3371725,183.1105962,410.2412279,1924.291426,1885.569359,218.943478,1998.028458,33.24746447,278.833169,1869.245714,335.1490841,302.4401875,278.833169,159
126,1960.167853,273.6700147,183.3239607,410.2412279,1926.655033,1888.407418,219.2730201,2003.710665,33.32328638,279.1908015,1872.142351,335.5572266,302.994135,279.1908015,159
127,1962.036366,273.9420767,183.4987126,410.2412279,1928.609405,1890.742231,219.5441277,2008.509669,33.37853828,279.487687,1874.519351,335.916511,303.4660184,279.487687,159
128,1971.00596,274.6059776,184.8755177,410.180579,1937.107084,1897.414952,220.8718067,2005.835469,33.42177232,280.1084409,1880.890958,336.2981143,303.9697508,280.1084409,159
129,1978.676538,275.5220936,185.5949991,410.180579,1944.435903,1903.485902,221.5785059,2000.034063,33.50609194,280.9660346,1886.88808,336.7731488,304.5604364,280.9660346,159
130,1986.71318,276.5270475,186.3488164,410.180579,1952.330618,1910.477315,222.3923532,1994.187933,33.62082381,281.9267718,1893.763508,337.3348069,305.2397185,281.9267718,159
131,1994.605602,277.5488069,187.0891062,410.180579,1960.182629,1917.845502,223.2500595,1989.545704,33.74560675,282.9177802,1901.065274,337.9701643,305.9883974,282.9177802,159
132,2002.165738,278.5499372,187.7982284,410.180579,1967.759735,1925.24394,224.1112872,1986.367524,33.87000883,283.8987015,1908.437257,338.660511,306.7816267,283.8987015,159
133,2012.277727,279.2649229,188.6838837,410.2313251,1977.2434,1935.013368,225.1855641,1989.264386,33.98322181,284.6287902,1917.970856,339.2890398,307.5329656,284.6287902,159
134,2016.675869,279.9201413,189.0962814,410.2313251,1981.766782,1940.513847,225.8256777,1991.785375,34.06623302,285.2952319,1923.83296,339.89999,308.2365174,285.2952319,159
135,2020.774387,280.5021189,189.4805843,410.2313251,1985.981146,1945.336261,226.3868821,1994.356013,34.13332287,285.8906404,1928.736516,340.4689205,308.8860197,285.8906404,159
136,2024.469858,281.0172744,189.827095,410.2313251,1989.774397,1949.55809,226.878194,1997.095245,34.18668011,286.4201068,1932.999926,340.9934049,309.4786165,286.4201068,159
137,2027.73816,281.4702159,190.1335517,410.2313251,1993.129996,1953.265141,227.3095989,1999.86091,34.23008351,286.887606,1936.737401,341.473206,310.0138676,286.887606,159
138,2036.168642,282.0379088,191.0597526,410.1878314,2000.978192,1960.421458,228.1447336,1999.743084,34.26102505,287.4475614,1943.616739,341.9143049,310.5358123,287.4475614,159
139,2041.213374,282.6773337,191.5331148,410.1878314,2005.916822,1965.055871,228.684065,1998.403512,34.30265975,288.0692942,1948.336905,342.3742104,311.0661497,288.0692942,159
140,2046.219248,283.3237887,192.0028309,410.1878314,2010.905917,1969.850164,229.2420026,1997.116264,34.3524307,288.7039583,1953.100095,342.8447087,311.6061155,288.7039583,159
141,2051.007654,283.9533901,192.4521412,410.1878314,2015.711075,1974.588733,229.7934552,1996.272589,34.40345385,289.3265065,1957.817745,343.3235047,312.1492195,289.3265065,159
142,2055.508548,284.5533788,192.8744735,410.1878314,2020.24777,1979.160963,230.32555,1995.9633,34.45161565,289.9230063,1962.383374,343.8048436,312.6871075,289.9230063,159
143,2062.624458,285.0117658,193.4383976,410.1869735,2026.886546,1986.298832,230.8992172,1998.234853,34.4869848,290.3957326,1969.395905,344.2282854,313.1856185,290.3957326,159
144,2065.768807,285.4412211,193.733283,410.1869735,2030.071476,1989.691375,231.2935866,2000.122547,34.51314104,290.8326494,1972.838215,344.6334971,313.6469315,290.8326494,159
145,2068.632429,285.8316762,194.0018411,410.1869735,2032.98793,1992.801395,231.6551139,2001.752229,34.53426571,291.2306745,1975.964287,345.0089005,314.0716673,291.2306745,159
146,2071.233529,286.1862019,194.2457792,410.1869735,2035.638072,1995.628918,231.983802,2003.342405,34.54827327,291.5927051,1978.804493,345.356429,314.4610191,291.5927051,159
147,2073.584224,286.5068679,194.4662336,410.1869735,2038.034714,1998.192305,232.2817854,2004.872358,34.55790783,291.9207137,1981.379781,345.6773227,314.8165381,291.9207137,159
148,2078.753913,286.8492977,194.9876655,410.1589419,2042.834832,2002.797286,232.686887,2005.365629,34.55725975,292.2647872,1985.881809,345.9641098,315.1538204,292.2647872,159
149,2081.51103,287.2070243,195.2462838,410.1589419,2045.566172,2005.466639,232.9970148,2005.621142,34.56133023,292.6191411,1988.612439,346.2507219,315.4818988,292.6191411,159
150,2084.166169,287.5555315,195.4953366,410.1589419,2048.230868,2008.118208,233.3050766,2005.706289,34.57086866,292.9660007,1991.257633,346.5315939,315.8018894,292.9660007,159
151,2086.673855,287.8882849,195.7305582,410.1589419,2050.757842,2010.670622,233.6016185,2005.923038,34.57861153,293.2985319,1993.805138,346.8072131,316.1124502,293.2985319,159
152,2089.022827,288.2024813,195.9508924,410.1589419,2053.13057,2013.096362,233.8834433,2006.279467,34.58502102,293.6135459,1996.230228,347.0762007,316.4118462,293.6135459,159
153,2092.746748,288.442084,196.2612103,410.1525819,2056.595637,2016.736949,234.1383939,2007.632591,34.58479562,293.8629401,1999.808137,347.3078034,316.6847423,293.8629401,159
154,2093.983928,288.6291252,196.3772351,410.1525819,2057.901249,2018.375096,234.3285789,2009.511313,34.57908007,294.0610776,2001.549773,347.5175712,316.9249568,294.0610776,159
155,2094.514426,288.7305597,196.426986,410.1525819,2058.543523,2019.477437,234.456558,2012.054628,34.56980478,294.1804884,2002.705749,347.6878679,317.1202515,294.1804884,159
156,2093.023316,288.6118543,196.2871473,410.1525819,2057.327036,2019.318851,234.4381466,2017.351612,34.55052189,294.1055356,2002.670115,347.7793675,317.2318213,294.1055356,159
157,2081.725896,287.4779809,195.2276568,410.1525819,2047.263883,2013.815334,233.7992013,2037.357638,34.50486422,293.1552354,1997.717044,347.5760498,317.0280469,293.1552354,159
158,2086.577188,287.7927156,195.7526909,410.037844,2050.769094,2013.358724,233.7411178,2027.919686,34.36534872,293.3323012,1996.851878,347.5167399,316.9373961,293.3323012,159
159,2090.609298,288.1823642,196.1309642,410.037844,2054.52523,2015.054064,233.9379384,2020.312939,34.33920496,293.6731076,1998.25293,347.5328013,316.9712932,293.6731076,159
160,2093.560201,288.5417604,196.4078038,410.037844,2057.45893,2017.340458,234.2033776,2015.659987,34.35862809,294.0036372,2000.444555,347.6266151,317.0886639,294.0036372,159
161,2096.250877,288.8934687,196.6602301,410.037844,2060.147036,2019.808721,234.4899309,2012.186104,34.37880919,294.3415743,2002.883909,347.7771371,317.2661018,294.3415743,159
162,2098.555286,289.2115943,196.8764187,410.037844,2062.48868,2022.186182,234.7659425,2010.1714,34.39740153,294.6525967,2005.267149,347.962913,317.4771804,294.6525967,159
163,2101.298696,289.3911827,197.0108918,410.1487777,2064.898197,2024.959341,234.8728808,2011.497425,34.40950171,294.8305194,2007.997911,348.1341781,317.6725751,294.8305194,159
164,2102.121021,289.5320258,197.0879903,410.1487777,2065.806019,2026.261286,235.0238919,2012.719006,34.40925624,294.9778188,2009.398972,348.295935,317.8484716,294.9778188,159
165,2102.6825,289.628694,197.1406328,410.1487777,2066.432153,2027.208359,235.133742,2014.322883,34.4025644,295.0845446,2010.387682,348.4356061,318.0010429,295.0845446,159
166,2102.668619,289.6549112,197.1393313,410.1487777,2066.510908,2027.684028,235.1889143,2016.591629,34.39534497,295.1266833,2010.909903,348.5426917,318.1150265,295.1266833,159
167,2101.149057,289.5151459,196.9968622,410.1487777,2065.199671,2027.19554,235.1322551,2020.84284,34.374591,295.0212812,2010.519368,348.5863728,318.1618675,295.0212812,159
168,2103.426747,289.6833056,197.2657177,410.253777,2067.140547,2028.117166,235.203995,2019.058113,34.33814409,295.1586919,2011.283476,348.651959,318.2335783,295.1586919,159
169,2105.271776,289.8923622,197.4387501,410.253777,2068.907258,2029.396121,235.3523175,2017.08019,34.33125291,295.3519923,2012.55698,348.741232,318.3384659,295.3519923,159
170,2106.907542,290.0984978,197.5921572,410.253777,2070.53388,2030.848914,235.5208002,2015.707401,34.3343712,295.550502,2013.98568,348.8516969,318.4676944,295.550502,159
171,2108.358739,290.2913046,197.7282548,410.253777,2071.997512,2032.288759,235.6877814,2014.964625,34.33906501,295.7398894,2015.41922,348.9758674,318.6123364,295.7398894,159
172,2109.679359,290.4704004,197.8521065,410.253777,2073.335012,2033.658974,235.8466874,2014.668218,34.34243314,295.9177882,2016.791251,349.1077198,318.7614837,295.9177882,159
173,2111.541386,290.5825157,198.0471118,410.1451739,2075.090994,2035.545987,236.0151513,2015.749961,34.34224181,296.0339239,2018.628901,349.2225052,318.8982653,296.0339239,159
174,2112.00225,290.6649872,198.0903375,410.1451739,2075.59481,2036.352642,236.1086804,2016.862174,34.3378466,296.122755,2019.500115,349.3260337,319.0162467,296.122755,159
175,2112.140461,290.7031115,198.1033006,410.1451739,2075.794122,2036.836632,236.1647976,2018.369434,34.32880937,296.1709384,2020.018819,349.4082247,319.110782,296.1709384,159
176,2111.414008,290.6436351,198.0351646,410.1451739,2075.19185,2036.733429,236.1528315,2021.015574,34.31890103,296.1320196,2019.974129,349.452522,319.1639555,296.1320196,159
177,2097.844017,289.2939416,196.7623989,410.1451739,2063.165157,2030.188416,235.3939578,2043.139327,34.29342562,295.0053367,2014.092759,349.1652564,318.8742949,295.0053367,159
178,2103.771875,289.7249068,197.3849464,410.092948,2067.519606,2029.696112,235.4650799,2030.950063,34.13882948,295.2531216,2013.11109,349.0791625,318.7484276,295.2531216,159
179,2107.181837,290.0656589,197.7048838,410.092948,2070.814636,2031.176193,235.6367842,2023.723648,34.14359811,295.5546382,2014.268957,349.0662094,318.7494467,295.5546382,159
180,2109.533461,290.36123,197.9255233,410.092948,2073.179357,2033.056273,235.8548922,2019.082854,34.17357836,295.8335543,2016.076888,349.1274608,318.8316797,295.8335543,159
181,2111.311066,290.6113489,198.0923058,410.092948,2075.003946,2034.883292,236.0668448,2016.628101,34.19676168,296.0761377,2017.906836,349.2318348,318.9600315,296.0761377,159
182,2112.801903,290.8282019,198.2321825,410.092948,2076.538405,2036.54511,236.2596323,2015.344929,34.21451969,296.2898371,2019.589775,349.3624651,319.1107357,296.2898371,159
183,2114.658567,290.9184211,198.2943952,410.1538299,2078.061905,2038.425243,236.2905157,2017.26593,34.22641826,296.3758409,2021.441635,349.4739177,319.2386718,296.3758409,159
184,2114.903521,290.9798103,198.3173649,410.1538299,2078.376842,2039.102153,236.3689818,2018.57188,34.22661949,296.4433258,2022.205453,349.5736863,319.3463896,296.4433258,159
185,2114.855782,290.9962057,198.3128883,410.1538299,2078.393209,2039.436397,236.4077267,2020.243207,34.22094473,296.4705889,2022.581916,349.6498715,319.4289895,296.4705889,159
186,2113.644231,290.8843088,198.1992796,410.1538299,2077.342689,2039.026782,236.3602449,2023.493701,34.21136198,296.3849055,2022.250055,349.6785045,319.4602342,296.3849055,159
187,2075.495277,287.1013594,194.6220005,410.1538299,2043.560889,2020.566826,234.2204007,2082.414263,34.18868117,293.233943,2005.648143,348.8161843,318.5826876,293.233943,159
188,2092.182483,288.4043778,196.40665,410.0392539,2055.779405,2018.510182,234.2871584,2046.427764,33.802414,293.9841539,2002.141952,348.5585555,318.1921739,293.9841539,159
189,2099.484737,289.1694271,197.0921596,410.0392539,2063.105525,2021.978778,234.689756,2028.226627,33.85469504,294.6760553,2004.94474,348.4679873,318.1218475,294.6760553,159
190,2103.720586,289.7390566,197.4898061,410.0392539,2067.501911,2025.786196,235.1316806,2018.408436,33.95524154,295.217433,2008.658744,348.5457399,318.2315621,295.217433,159
191,2106.662399,290.183042,197.765973,410.0392539,2070.594137,2029.174416,235.5249491,2013.294721,34.02700194,295.6499068,2012.095172,348.7114259,318.4342068,295.6499068,159
192,2109.091877,290.5600098,197.9940438,410.0392539,2073.146243,2032.171602,235.8728304,2010.57143,34.07774945,296.0221842,2015.169322,348.9388166,318.6769835,296.0221842,159
193,2112.382292,290.6493747,197.8599875,410.1984799,2075.648342,2035.405169,235.7256773,2014.965691,34.11843507,296.0970501,2018.276843,349.1039291,318.8720073,296.0970501,159
194,2112.55077,290.7231424,197.8757682,410.1984799,2075.922803,2036.351423,235.8352654,2017.209884,34.12179484,296.1773716,2019.398102,349.255374,319.0298612,296.1773716,159
